Ticker,Fecha,Cierre,Referencia,Volumen,Rotacion,Ultimo,Alto,Bajo,Promedio
ANA,02/01/2019,74.8000,73.9000,156300,11621188.98,74.8000,75.1600,72.3800,74.3518
ANA,03/01/2019,76.3400,74.8000,140331,10632703.64,76.3400,76.6000,74.5400,75.7687
ANA,04/01/2019,76.6200,76.3400,130309,10010838.76,76.6200,77.4000,76.4000,76.8162
ANA,07/01/2019,77.1400,76.6200,63349,4855724.92,77.1400,77.3000,75.6200,76.6504
ANA,08/01/2019,78.2400,77.1400,99300,7749464.70,78.2400,78.4600,77.0000,78.0409
ANA,09/01/2019,77.6400,78.2400,111912,8661432.24,77.6400,78.8200,76.6000,77.3950
ANA,10/01/2019,78.7400,77.6400,76146,5983497.62,78.7400,78.8800,77.5200,78.5793
ANA,11/01/2019,79.0800,78.7400,86809,6860996.34,79.0800,79.7000,78.5400,79.0355
ANA,14/01/2019,79.2800,79.0800,97419,7700806.90,79.2800,79.6200,78.3200,79.0483
ANA,15/01/2019,80.0000,79.2800,71241,5681059.56,80.0000,80.0000,79.3200,79.7442
ANA,16/01/2019,79.6400,80.0000,145102,11470903.64,79.6400,80.0400,76.7800,79.0541
ANA,17/01/2019,78.8400,79.6400,148732,11799876.60,78.8400,80.0000,78.8400,79.2869
ANA,18/01/2019,79.6800,78.8400,125542,10015930.76,79.6800,80.2600,79.1200,79.7829
ANA,21/01/2019,79.6600,79.6800,74057,5911673.72,79.6600,80.1800,79.5200,79.8156
ANA,22/01/2019,79.9600,79.6600,89460,7173625.00,79.9600,80.6800,79.2000,80.1728
ANA,23/01/2019,80.9800,79.9600,83372,6741013.38,80.9800,81.3000,79.6800,80.8566
ANA,24/01/2019,81.3000,80.9800,120539,9788869.09,81.3000,81.7600,80.8000,81.2195
ANA,25/01/2019,81.9000,81.3000,107315,8820336.98,81.9000,83.0000,81.5000,82.1911
ANA,28/01/2019,80.5200,81.9000,164014,13327054.66,80.5200,81.8400,80.1000,80.7605
