indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
0,0,The Shawshank Redemption,Frank Darabont,1994,142,Drama,9.3,82,28.34
1,1,The Godfather,Francis Ford Coppola,1972,175,Crimen,9.2,100,134.97
2,1,The Godfather,Francis Ford Coppola,1972,175,Drama,9.2,100,134.97
3,2,The Dark Knight,Christopher Nolan,2008,152,Acción,9.0,84,534.86
4,2,The Dark Knight,Christopher Nolan,2008,152,Crimen,9.0,84,534.86
5,2,The Dark Knight,Christopher Nolan,2008,152,Drama,9.0,84,534.86
6,3,Schindler's List,Steven Spielberg,1993,195,Biografía,9.0,95,96.9
7,3,Schindler's List,Steven Spielberg,1993,195,Drama,9.0,95,96.9
8,3,Schindler's List,Steven Spielberg,1993,195,Historia,9.0,95,96.9
9,4,12 Angry Men,Sidney Lumet,1957,96,Crimen,9.0,97,4.36
10,4,12 Angry Men,Sidney Lumet,1957,96,Drama,9.0,97,4.36
11,5,The Lord of the Rings: The Return of the King,Peter Jackson,2003,201,Acción,9.0,94,377.85
12,5,The Lord of the Rings: The Return of the King,Peter Jackson,2003,201,Aventura,9.0,94,377.85
13,5,The Lord of the Rings: The Return of the King,Peter Jackson,2003,201,Drama,9.0,94,377.85
14,6,The Godfather Part II,Francis Ford Coppola,1974,202,Crimen,9.0,90,57.3
15,6,The Godfather Part II,Francis Ford Coppola,1974,202,Drama,9.0,90,57.3
16,7,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023,140,Animación,8.9,86,0.0
17,7,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023,140,Acción,8.9,86,0.0
18,7,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023,140,Aventura,8.9,86,0.0
19,8,Pulp Fiction,Quentin Tarantino,1994,154,Crimen,8.9,95,107.93
20,8,Pulp Fiction,Quentin Tarantino,1994,154,Drama,8.9,95,107.93
21,9,Inception,Christopher Nolan,2010,148,Acción,8.8,74,292.58
22,9,Inception,Christopher Nolan,2010,148,Aventura,8.8,74,292.58
23,9,Inception,Christopher Nolan,2010,148,Ciencia Ficción,8.8,74,292.58
24,10,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,178,Acción,8.8,92,315.54
25,10,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,178,Aventura,8.8,92,315.54
26,10,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,178,Drama,8.8,92,315.54
27,11,Fight Club,David Fincher,1999,139,Drama,8.8,67,37.03
28,12,Forrest Gump,Robert Zemeckis,1994,142,Drama,8.8,82,330.25
29,12,Forrest Gump,Robert Zemeckis,1994,142,Romance,8.8,82,330.25
"30,13,""The Good, the Bad and the Ugly"",Sergio Leone,1966,178,Aventura,8.8,90,6.1"
"31,13,""The Good, the Bad and the Ugly"",Sergio Leone,1966,178,Western,8.8,90,6.1"
32,14,The Lord of the Rings: The Two Towers,Peter Jackson,2002,179,Acción,8.8,87,342.55
33,14,The Lord of the Rings: The Two Towers,Peter Jackson,2002,179,Aventura,8.8,87,342.55
34,14,The Lord of the Rings: The Two Towers,Peter Jackson,2002,179,Drama,8.8,87,342.55
35,15,Jai Bhim,T.J. Gnanavel,2021,164,Crimen,8.8,0,0.0
36,15,Jai Bhim,T.J. Gnanavel,2021,164,Drama,8.8,0,0.0
37,15,Jai Bhim,T.J. Gnanavel,2021,164,Misterio,8.8,0,0.0
38,16,777 Charlie,Kiranraj K,2022,164,Aventura,8.8,0,0.0
39,16,777 Charlie,Kiranraj K,2022,164,Comedia,8.8,0,0.0
40,16,777 Charlie,Kiranraj K,2022,164,Drama,8.8,0,0.0
41,17,Interstellar,Christopher Nolan,2014,169,Aventura,8.7,74,188.02
42,17,Interstellar,Christopher Nolan,2014,169,Drama,8.7,74,188.02
43,17,Interstellar,Christopher Nolan,2014,169,Ciencia Ficción,8.7,74,188.02
44,18,Goodfellas,Martin Scorsese,1990,145,Biografía,8.7,92,46.84
45,18,Goodfellas,Martin Scorsese,1990,145,Crimen,8.7,92,46.84
46,18,Goodfellas,Martin Scorsese,1990,145,Drama,8.7,92,46.84
47,19,The Matrix,Lana Wachowski,1999,136,Acción,8.7,73,171.48
48,19,The Matrix,Lana Wachowski,1999,136,Ciencia Ficción,8.7,73,171.48
49,20,One Flew Over the Cuckoo's Nest,Milos Forman,1975,133,Drama,8.7,84,112.0
50,21,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980,124,Acción,8.7,82,290.48
51,21,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980,124,Aventura,8.7,82,290.48
52,21,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980,124,Fantasía,8.7,82,290.48
53,22,Rocketry: The Nambi Effect,Madhavan,2022,157,Biografía,8.7,0,0.0
54,22,Rocketry: The Nambi Effect,Madhavan,2022,157,Drama,8.7,0,0.0
55,23,Soorarai Pottru,Sudha Kongara,2020,153,Acción,8.7,0,0.0
56,23,Soorarai Pottru,Sudha Kongara,2020,153,Drama,8.7,0,0.0
57,24,The Green Mile,Frank Darabont,1999,189,Crimen,8.6,61,136.8
58,24,The Green Mile,Frank Darabont,1999,189,Drama,8.6,61,136.8
59,24,The Green Mile,Frank Darabont,1999,189,Fantasía,8.6,61,136.8
60,25,Terminator 2: Judgment Day,James Cameron,1991,137,Acción,8.6,75,204.84
61,25,Terminator 2: Judgment Day,James Cameron,1991,137,Ciencia Ficción,8.6,75,204.84
62,26,Se7en,David Fincher,1995,127,Crimen,8.6,65,100.13
63,26,Se7en,David Fincher,1995,127,Drama,8.6,65,100.13
64,26,Se7en,David Fincher,1995,127,Misterio,8.6,65,100.13
65,27,Saving Private Ryan,Steven Spielberg,1998,169,Drama,8.6,91,216.54
66,27,Saving Private Ryan,Steven Spielberg,1998,169,Guerra,8.6,91,216.54
67,28,The Silence of the Lambs,Jonathan Demme,1991,118,Crimen,8.6,86,130.74
68,28,The Silence of the Lambs,Jonathan Demme,1991,118,Drama,8.6,86,130.74
69,28,The Silence of the Lambs,Jonathan Demme,1991,118,Thriller,8.6,86,130.74
70,29,Star Wars: Episode IV - A New Hope,George Lucas,1977,121,Acción,8.6,90,322.74
71,29,Star Wars: Episode IV - A New Hope,George Lucas,1977,121,Aventura,8.6,90,322.74
72,29,Star Wars: Episode IV - A New Hope,George Lucas,1977,121,Fantasía,8.6,90,322.74
73,30,Spirited Away,Hayao Miyazaki,2001,125,Animación,8.6,96,10.06
74,30,Spirited Away,Hayao Miyazaki,2001,125,Aventura,8.6,96,10.06
75,30,Spirited Away,Hayao Miyazaki,2001,125,Familiar,8.6,96,10.06
76,31,City of God,Fernando Meirelles,2002,130,Crimen,8.6,79,7.56
77,31,City of God,Fernando Meirelles,2002,130,Drama,8.6,79,7.56
78,32,Life Is Beautiful,Roberto Benigni,1997,116,Comedia,8.6,59,57.6
79,32,Life Is Beautiful,Roberto Benigni,1997,116,Drama,8.6,59,57.6
80,32,Life Is Beautiful,Roberto Benigni,1997,116,Romance,8.6,59,57.6
81,33,Seven Samurai,Akira Kurosawa,1954,207,Acción,8.6,98,0.27
82,33,Seven Samurai,Akira Kurosawa,1954,207,Drama,8.6,98,0.27
83,34,It's a Wonderful Life,Frank Capra,1946,130,Drama,8.6,89,0.0
84,34,It's a Wonderful Life,Frank Capra,1946,130,Familiar,8.6,89,0.0
85,34,It's a Wonderful Life,Frank Capra,1946,130,Fantasía,8.6,89,0.0
86,35,Harakiri,Masaki Kobayashi,1962,133,Acción,8.6,85,0.0
87,35,Harakiri,Masaki Kobayashi,1962,133,Drama,8.6,85,0.0
88,35,Harakiri,Masaki Kobayashi,1962,133,Misterio,8.6,85,0.0
89,36,Sita Ramam,Hanu Raghavapudi,2022,163,Acción,8.6,0,0.0
90,36,Sita Ramam,Hanu Raghavapudi,2022,163,Drama,8.6,0,0.0
91,36,Sita Ramam,Hanu Raghavapudi,2022,163,Misterio,8.6,0,0.0
92,37,Back to the Future,Robert Zemeckis,1985,116,Aventura,8.5,87,210.61
93,37,Back to the Future,Robert Zemeckis,1985,116,Comedia,8.5,87,210.61
94,37,Back to the Future,Robert Zemeckis,1985,116,Ciencia Ficción,8.5,87,210.61
95,38,The Departed,Martin Scorsese,2006,151,Crimen,8.5,85,132.38
96,38,The Departed,Martin Scorsese,2006,151,Drama,8.5,85,132.38
97,38,The Departed,Martin Scorsese,2006,151,Thriller,8.5,85,132.38
98,39,Gladiator,Ridley Scott,2000,155,Acción,8.5,67,187.71
99,39,Gladiator,Ridley Scott,2000,155,Aventura,8.5,67,187.71
100,39,Gladiator,Ridley Scott,2000,155,Drama,8.5,67,187.71
101,40,Alien,Ridley Scott,1979,117,Terror,8.5,89,78.9
102,40,Alien,Ridley Scott,1979,117,Ciencia Ficción,8.5,89,78.9
103,41,Parasite,Bong Joon Ho,2019,132,Drama,8.5,96,53.37
104,41,Parasite,Bong Joon Ho,2019,132,Thriller,8.5,96,53.37
105,42,The Prestige,Christopher Nolan,2006,130,Drama,8.5,66,53.09
